Date,Competitor,Product,Quantity,Revenue
2025-01-24,CompX,Widget A,42,1428
2025-08-20,CompZ,Widget D,8,336
2025-01-03,CompY,Widget E,7,70
2025-04-12,CompZ,Widget E,37,1665
2025-07-25,CompX,Widget A,21,1029
2025-05-31,CompY,Widget E,24,744
2025-08-21,CompX,Widget B,7,343
2025-11-11,CompY,Widget D,43,559
2025-12-22,CompZ,Widget D,24,936
2025-01-04,CompY,Widget D,13,299
2025-01-15,CompY,Widget B,36,468
2025-09-18,CompY,Widget E,20,240
2025-10-07,CompY,Widget C,27,1026
2025-07-13,CompZ,Widget D,37,1850
2025-02-14,CompY,Widget E,50,2450
2025-10-26,CompX,Widget C,17,561
2025-01-26,CompY,Widget A,28,504
2025-01-29,CompX,Widget A,1,15
2025-02-20,CompY,Widget C,38,1444
2025-06-30,CompY,Widget D,28,868
2025-07-27,CompY,Widget D,21,798
2025-03-09,CompY,Widget A,9,117
2025-03-08,CompZ,Widget B,40,1920
2025-08-29,CompX,Widget C,25,975
2025-04-17,CompX,Widget C,23,437
2025-08-03,CompX,Widget D,2,24
2025-11-04,CompX,Widget D,2,78
2025-03-29,CompZ,Widget A,1,26
2025-02-11,CompY,Widget E,34,1190
2025-10-20,CompY,Widget B,28,1092
2025-11-02,CompZ,Widget D,33,627
2025-04-10,CompX,Widget C,43,2107
2025-01-25,CompY,Widget A,20,960
2025-11-16,CompY,Widget D,35,945
2025-07-03,CompY,Widget B,34,884
2025-08-30,CompY,Widget E,19,608
2025-11-25,CompY,Widget E,11,231
2025-06-12,CompZ,Widget E,44,1276
2025-06-11,CompY,Widget E,21,525
2025-11-19,CompZ,Widget B,36,720
2025-01-21,CompX,Widget C,49,2156
2025-03-25,CompZ,Widget C,2,24
2025-05-27,CompY,Widget B,45,2070
2025-10-11,CompZ,Widget B,3,60
2025-02-17,CompZ,Widget E,27,324
2025-09-20,CompY,Widget D,1,50
2025-07-09,CompX,Widget B,48,2064
2025-08-26,CompX,Widget E,6,90
2025-05-01,CompX,Widget C,41,1804
