Date,Sector,GrowthRate (%),AvgPrice
2025-01-03,Toys,4.65,79
2025-06-16,Home Appliances,2.81,156
2025-12-09,Electronics,2.47,195
2025-04-17,Furniture,1.05,119
2025-12-12,Furniture,0.52,191
2025-05-02,Electronics,3.57,77
2025-01-23,Toys,4.96,105
2025-12-19,Toys,4.11,89
2025-12-05,Electronics,3.89,67
2025-04-12,Electronics,0.77,104
2025-06-25,Electronics,1.72,93
2025-09-20,Home Appliances,3.77,174
2025-01-27,Furniture,4.05,98
2025-04-01,Electronics,1.8,61
2025-08-22,Toys,4.33,145
2025-03-26,Electronics,1.06,188
2025-11-14,Toys,4.8,62
2025-08-30,Home Appliances,3.45,82
2025-01-04,Home Appliances,0.83,149
2025-04-23,Toys,2.21,108
2025-04-03,Toys,4.56,126
2025-12-07,Electronics,0.89,77
2025-10-17,Furniture,1.71,75
2025-07-08,Electronics,0.67,147
2025-06-06,Electronics,2.55,186
2025-11-24,Toys,3.91,195
2025-04-09,Furniture,2.12,169
2025-04-21,Home Appliances,2.94,125
2025-01-16,Furniture,1.97,77
2025-04-26,Furniture,4.21,170
2025-12-13,Home Appliances,1.02,174
2025-01-05,Furniture,2.12,123
2025-04-25,Furniture,4.05,162
2025-03-18,Electronics,3.82,108
2025-04-02,Home Appliances,4.92,123
2025-10-12,Furniture,4.31,149
2025-12-15,Furniture,0.98,72
2025-05-11,Electronics,0.78,126
2025-11-20,Home Appliances,4.01,125
2025-02-09,Furniture,0.82,166
2025-06-10,Electronics,2.02,104
2025-02-28,Toys,1.65,86
2025-08-21,Home Appliances,0.65,65
2025-08-05,Toys,3.95,106
2025-07-12,Furniture,3.76,85
2025-02-09,Electronics,1.16,93
2025-02-08,Furniture,2.36,199
2025-02-20,Home Appliances,3.8,116
2025-07-12,Home Appliances,2.01,97
2025-07-01,Electronics,1.38,167
2025-08-04,Toys,0.62,131
2025-07-28,Furniture,4.37,66
2025-09-24,Furniture,1.09,65
2025-06-17,Toys,1.58,117
2025-04-12,Toys,0.76,162
2025-02-06,Furniture,2.76,55
2025-08-17,Home Appliances,2.51,55
2025-10-03,Furniture,3.75,114
2025-09-14,Furniture,4.17,192
2025-01-24,Electronics,3.85,112
2025-08-24,Home Appliances,0.72,122
2025-11-29,Furniture,3.37,108
2025-09-17,Toys,3.15,132
2025-03-10,Electronics,2.27,118
2025-02-16,Furniture,2.53,171
2025-12-05,Furniture,2.57,85
2025-06-19,Electronics,1.21,71
2025-02-22,Furniture,4.45,195
2025-05-07,Home Appliances,3.5,133
2025-05-12,Home Appliances,0.78,182
2025-05-29,Furniture,4.04,99
2025-07-10,Electronics,4.4,52
2025-11-11,Electronics,4.89,134
2025-09-19,Home Appliances,4.63,157
2025-06-23,Furniture,4.06,71
2025-11-17,Furniture,3.31,190
2025-05-21,Toys,0.84,166
2025-05-17,Toys,4.34,92
2025-04-18,Furniture,0.72,191
2025-02-24,Electronics,3.86,136
2025-05-26,Furniture,0.9,163
2025-10-05,Home Appliances,1.93,169
2025-09-22,Toys,3.17,168
2025-06-30,Home Appliances,4.94,78
2025-09-02,Furniture,2.96,191
2025-11-19,Electronics,2.01,120
2025-07-25,Home Appliances,4.6,107
2025-04-25,Furniture,1.06,72
2025-12-26,Furniture,1.06,79
2025-08-21,Toys,0.94,170
2025-01-20,Electronics,1.9,90
2025-03-07,Toys,0.92,178
2025-12-16,Electronics,1.63,181
2025-06-28,Toys,1.63,59
2025-01-27,Furniture,1.53,187
2025-02-07,Toys,4.17,91
2025-11-15,Electronics,2.42,174
2025-07-13,Furniture,1.55,146
2025-09-28,Furniture,4.77,138
2025-07-14,Furniture,3.06,97
2025-07-07,Furniture,0.67,89
2025-11-17,Furniture,0.76,113
2025-04-20,Furniture,2.52,152
2025-11-06,Toys,2.88,181
2025-03-01,Furniture,0.72,106
2025-12-28,Toys,3.49,165
2025-06-04,Electronics,3.03,120
2025-03-03,Toys,0.6,121
2025-08-23,Electronics,2.26,97
2025-05-22,Toys,1.0,142
2025-05-10,Electronics,3.45,57
2025-10-24,Furniture,1.6,71
2025-01-09,Electronics,3.36,123
2025-08-06,Furniture,2.56,146
2025-12-26,Furniture,2.96,194
2025-02-28,Toys,3.34,187
2025-07-21,Home Appliances,3.58,160
2025-06-18,Electronics,1.16,192
2025-04-05,Furniture,3.75,140
2025-08-04,Electronics,2.03,93
2025-10-11,Electronics,1.53,200
2025-05-12,Electronics,1.47,60
2025-10-01,Electronics,4.82,93
2025-01-15,Electronics,2.6,197
2025-06-20,Toys,3.5,196
2025-05-11,Toys,3.31,165
2025-10-29,Electronics,1.86,106
2025-08-17,Toys,4.43,55
2025-02-02,Toys,2.39,141
2025-09-20,Home Appliances,2.57,193
2025-12-19,Furniture,1.5,96
2025-10-14,Furniture,2.97,185
2025-03-04,Furniture,2.93,137
2025-08-23,Furniture,3.06,137
2025-06-22,Electronics,4.88,173
2025-12-06,Home Appliances,1.6,123
2025-01-26,Electronics,4.31,174
2025-12-28,Electronics,3.42,185
2025-03-24,Toys,3.33,158
2025-01-11,Home Appliances,2.6,96
2025-04-23,Furniture,3.72,172
2025-06-26,Furniture,3.84,117
2025-08-10,Toys,4.25,192
2025-07-27,Electronics,3.77,123
2025-12-18,Home Appliances,3.97,190
2025-08-26,Home Appliances,4.04,153
2025-12-18,Electronics,0.55,163
2025-08-01,Furniture,2.22,82
2025-02-11,Home Appliances,2.05,104
2025-10-28,Electronics,2.99,77
2025-04-17,Home Appliances,2.38,137
2025-08-03,Home Appliances,4.52,145
2025-08-10,Home Appliances,4.57,132
2025-01-04,Electronics,4.9,121
2025-08-07,Toys,3.03,157
2025-01-20,Toys,3.2,198
2025-02-14,Furniture,4.33,115
2025-07-06,Electronics,3.09,99
2025-03-23,Furniture,3.26,178
2025-06-26,Toys,4.94,178
2025-05-03,Home Appliances,4.67,67
