Date,Product,Produced,Stock
2025-05-03,Widget E,78,246
2025-09-02,Widget A,25,433
2025-05-05,Widget C,98,376
2025-02-28,Widget B,96,309
2025-02-09,Widget B,60,73
2025-02-20,Widget B,66,416
2025-04-25,Widget C,39,489
2025-07-28,Widget C,64,410
2025-02-04,Widget A,57,224
2025-03-23,Widget D,79,61
2025-07-12,Widget D,90,149
2025-04-23,Widget B,38,489
2025-03-06,Widget D,45,205
2025-12-22,Widget E,97,387
2025-01-09,Widget D,76,218
2025-11-03,Widget E,100,251
2025-07-04,Widget B,54,176
2025-03-26,Widget A,94,439
2025-11-20,Widget E,60,467
2025-04-18,Widget B,55,79
2025-03-07,Widget C,89,477
2025-10-28,Widget C,28,86
2025-03-17,Widget C,26,284
2025-10-04,Widget E,35,462
2025-08-05,Widget D,89,315
2025-08-15,Widget E,50,467
2025-04-02,Widget B,45,328
2025-12-06,Widget A,51,303
2025-03-18,Widget E,27,384
2025-03-15,Widget D,44,321
2025-12-07,Widget B,98,347
2025-07-23,Widget D,56,163
2025-01-04,Widget D,26,339
2025-05-25,Widget D,32,219
2025-08-11,Widget B,45,297
2025-10-07,Widget A,47,485
2025-04-16,Widget C,72,398
2025-03-10,Widget A,35,490
2025-04-09,Widget D,76,476
2025-01-15,Widget E,83,192
2025-12-14,Widget C,71,118
2025-05-12,Widget B,52,373
2025-11-20,Widget A,45,124
2025-07-16,Widget C,93,417
2025-12-18,Widget B,91,149
2025-05-27,Widget D,60,441
2025-10-26,Widget B,65,481
2025-10-08,Widget E,86,375
2025-09-11,Widget A,74,310
2025-12-15,Widget D,51,328
2025-08-05,Widget A,54,68
2025-07-05,Widget B,53,474
2025-05-25,Widget D,30,281
2025-03-14,Widget B,70,156
2025-09-19,Widget E,41,229
2025-06-24,Widget C,95,286
2025-04-16,Widget C,32,61
2025-07-26,Widget B,94,333
2025-08-15,Widget C,87,317
2025-11-17,Widget E,65,95
2025-10-20,Widget C,70,182
2025-08-22,Widget B,24,404
2025-07-20,Widget E,94,281
2025-03-08,Widget B,90,500
2025-01-28,Widget E,69,246
2025-12-25,Widget A,87,486
2025-05-10,Widget C,55,320
2025-02-01,Widget B,73,138
2025-12-17,Widget A,37,206
2025-12-23,Widget A,72,116
2025-04-19,Widget A,40,63
2025-01-13,Widget E,48,461
2025-11-02,Widget A,20,380
2025-07-12,Widget B,72,212
2025-05-01,Widget A,94,185
2025-06-24,Widget B,84,247
2025-05-21,Widget C,74,273
2025-05-25,Widget A,97,255
2025-05-08,Widget B,25,445
2025-08-12,Widget A,41,139
2025-04-06,Widget A,23,95
2025-07-24,Widget A,38,485
2025-09-05,Widget D,62,497
2025-10-29,Widget A,86,153
2025-08-03,Widget D,28,202
2025-03-02,Widget B,99,261
2025-08-08,Widget B,36,309
2025-08-12,Widget D,100,73
2025-03-02,Widget D,76,93
2025-05-16,Widget E,31,278
2025-11-17,Widget D,62,325
2025-07-28,Widget E,57,342
2025-09-08,Widget C,54,76
2025-07-23,Widget B,92,435
2025-09-10,Widget D,56,233
2025-08-23,Widget B,60,383
2025-11-29,Widget C,50,90
2025-11-25,Widget D,23,109
2025-09-10,Widget D,92,219
2025-08-12,Widget B,51,179
